F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
1 I root         103       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [kstrp]
1 I root         111       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [kworker/2:1H-events_highpri]
1 I root         117       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [zswap-shrink]
1 I root         269       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [kworker/4:1H-events_highpri]
1 I root         384       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [kworker/3:1H-kblockd]
1 I root         415       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [nvme-wq]
1 I root         416       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [nvme-reset-wq]
1 I root         417       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [nvme-delete-wq]
1 I root         429       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [amd_iommu_v2]
1 I root         441       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [amdgpu-reset-de]
1 I root         442       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [amdgpu_dm_hpd_r]
1 I root         443       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [amdgpu_dm_hpd_r]
1 I root         444       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [amdgpu_dm_hpd_r]
1 I root         445       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [dm_vblank_contr]
1 S root         446       2  0   9   - -     0 -      02:48 ?        00:00:00 [card0-crtc0]
1 S root         447       2  0   9   - -     0 -      02:48 ?        00:00:00 [card0-crtc1]
1 S root         448       2  0   9   - -     0 -      02:48 ?        00:00:00 [card0-crtc2]
1 S root         449       2  0   9   - -     0 -      02:48 ?        00:00:00 [card0-crtc3]
1 S root         450       2  0   9   - -     0 -      02:48 ?        00:00:00 [card0-crtc4]
1 S root         451       2  0  58   - -     0 -      02:48 ?        00:00:14 [gfx_0.0.0]
1 S root         452       2  0  58   - -     0 -      02:48 ?        00:00:00 [comp_1.0.0]
1 S root         453       2  0  58   - -     0 -      02:48 ?        00:00:00 [comp_1.1.0]
1 S root         454       2  0  58   - -     0 -      02:48 ?        00:00:00 [comp_1.2.0]
1 S root         455       2  0  58   - -     0 -      02:48 ?        00:00:00 [comp_1.3.0]
1 S root         456       2  0  58   - -     0 -      02:48 ?        00:00:00 [comp_1.0.1]
1 S root         457       2  0  58   - -     0 -      02:48 ?        00:00:00 [comp_1.1.1]
1 S root         458       2  0  58   - -     0 -      02:48 ?        00:00:00 [comp_1.2.1]
1 S root         459       2  0  58   - -     0 -      02:48 ?        00:00:00 [comp_1.3.1]
1 S root         460       2  0  58   - -     0 -      02:48 ?        00:00:00 [sdma0]
1 S root         461       2  0  58   - -     0 -      02:48 ?        00:00:00 [sdma1]
1 S root         462       2  0  58   - -     0 -      02:48 ?        00:00:00 [vcn_dec]
1 S root         463       2  0  58   - -     0 -      02:48 ?        00:00:00 [vcn_enc0]
1 S root         464       2  0  58   - -     0 -      02:48 ?        00:00:00 [vcn_enc1]
1 S root         465       2  0  58   - -     0 -      02:48 ?        00:00:00 [jpeg_dec]
1 I root         472       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [btrfs-worker]
1 I root         473       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [btrfs-worker-hi]
1 I root         474       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [btrfs-delalloc]
1 I root         475       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [btrfs-flush_del]
1 I root         476       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [btrfs-cache]
1 I root         477       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [btrfs-fixup]
1 I root         478       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [btrfs-endio]
1 I root         479       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [btrfs-endio-met]
1 I root         480       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [btrfs-endio-met]
1 I root         481       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [btrfs-endio-rai]
1 I root         482       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [btrfs-rmw]
1 I root         483       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [btrfs-endio-wri]
1 I root         484       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [btrfs-freespace]
1 I root         485       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [btrfs-delayed-m]
1 I root         486       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [btrfs-qgroup-re]
1 S root         487       2  0  80   0 -     0 -      02:48 ?        00:00:00 [btrfs-cleaner]
1 S root         488       2  0  80   0 -     0 -      02:48 ?        00:00:10 [btrfs-transaction]
4 S root         600       1  0  80   0 - 20681 -      02:48 ?        00:00:00 /usr/lib/systemd/systemd-journald
4 S root         614       1  0  80   0 -  8791 -      02:48 ?        00:00:00 /usr/lib/systemd/systemd-udevd
1 I root         684       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [led_workqueue]
1 S root         727       2  0  80   0 -     0 -      02:48 ?        00:00:00 [jbd2/nvme0n1p5-8]
1 I root         728       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [ext4-rsv-conver]
4 S systemd+     758       1  0  80   0 -  4416 -      02:48 ?        00:00:22 /usr/lib/systemd/systemd-oomd
4 S systemd+     759       1  0  80   0 -  6666 -      02:48 ?        00:00:02 /usr/lib/systemd/systemd-resolved
4 S root         762       1  0  80   0 -  4341 -      02:48 ?        00:00:00 /usr/lib/systemd/systemd-userdbd
5 S root         763       1  0  76  -4 -  4510 -      02:48 ?        00:00:00 /sbin/auditd
1 I root         785       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [rpciod]
1 I root         786       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [xprtiod]
4 S avahi        788       1  0  80   0 -  2167 -      02:48 ?        00:00:00 avahi-daemon: running [fedora.local]
4 S root         790       1  0  58   - - 57411 -      02:48 ?        00:00:00 /usr/libexec/low-memory-monitor
4 S polkitd      791       1  0  80   0 - 715214 -     02:48 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
4 S root         794       1  0  80   0 - 113107 -     02:48 ?        00:00:00 /usr/libexec/power-profiles-daemon
4 S rtkit        795       1  0  81   1 - 38495 -      02:48 ?        00:00:00 /usr/libexec/rtkit-daemon
4 S root         796       1  0  80   0 - 131514 -     02:48 ?        00:00:00 /usr/libexec/accounts-daemon
4 S root         798       1  0  80   0 - 112187 -     02:48 ?        00:00:00 /usr/libexec/switcheroo-control
4 S root         800       1  0  80   0 - 13361 -      02:48 ?        00:00:00 /usr/lib/systemd/systemd-logind
4 S root         801       1  0  80   0 -  4421 -      02:48 ?        00:00:00 /usr/lib/systemd/systemd-machined
4 S root         803       1  0  80   0 - 98821 -      02:48 ?        00:00:00 /usr/libexec/udisks2/udisksd
4 S root         807       1  0  80   0 - 112373 -     02:48 ?        00:00:00 /usr/libexec/upowerd
1 S avahi        811     788  0  80   0 -  2100 -      02:48 ?        00:00:00 avahi-daemon: chroot helper
4 S dbus         818       1  0  80   0 -  2744 -      02:48 ?        00:00:00 /usr/bin/dbus-broker-launch --scope system --audit
